"NBa7we src","d4r55","RfnDt","eaLgGf","fontBodyLarge","xRkPPb","qmhsmd","ARRgmb src","wiI7pd","w8nwRe","kyuRq","dSlJg","NlVald","dSlJg 2","NlVald 2","RfDO5c"
"https://lh3.googleusercontent.com/a-/ALV-UjXNWe5Qt2wuHncjw8TwvjMVagqaT9fDePD-7UEBPkQX_PcxwMNH=w36-h36-p-rp-mo-ba5-br100","Wolf “BY WOLF” wolf","Local Guide · 210 reviews · 151 photos","","4/5","3 months ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Lokasyon aracla zor fakat Türkçe bilen var sorun hallediyor teşekkür ederim sara otelin girişinde arada kalıyor tabela orada yok","More","See translation (English)","","Like","","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocIWTWNjMRjLPkJFlxrJwGLMI0Wjpnb3Fb7MUSFupiAU-HECvUZG=w36-h36-p-rp-mo-br100","Bonin Ferizi","2 reviews","","5/5","6 months ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","I can confidentely say this is the best hotel i have been. Staff is very friendly and super energetic, also about the location is very close to the city center had no problem just walking there. Overall 10 out of 10.","More","","","Like","","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocIy3r1Q6WxnN0aChjuEK7ptFZQMXZTls1D0cC6UbaI-DZSasg=w36-h36-p-rp-mo-br100","Contact Tebotroni","1 review","","5/5","3 months ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Great rooms especially for business travels! Highly recommended.","More","","","Like","","Share","Trip type…"
"https://lh3.googleusercontent.com/a-/ALV-UjXgewUfPyMNBaKTqpV82MKy-Wd23LRaN_RBT4X7MWRy_32FJSw=w36-h36-p-rp-mo-br100","NightCore Clan","2 reviews","","5/5","3 months ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Staff is friendly and a very comfortable room for 2. Also, the Pristina Center is very close.","More","","","Like","","Share","Trip ty…"
"https://lh3.googleusercontent.com/a/ACg8ocLPA9vXe0pO9uHqjPTjSVsnW9q5KOcqQs1a0UoH5uFMdAhHrg=w36-h36-p-rp-mo-br100","Hayrettin Ayçetin","3 reviews","","5/5","2 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Bu otel, son kaldığım süre boyunca olağanüstü bir deneyim sağladı. Şehir merkezine yakınlığı onu keşfetmek için inanılmaz derecede uygun hale getirirken, odaların sıcak misafirperverliği, zarif dekoru ve kusursuz temizliği beklentilerimin ötesine geçti. Uygun bir konaklama için bu oteli şiddetle tavsiye ederim.","More","See translation (English)","","Like","","Share",""
"https://lh3.googleusercontent.com/local-reviews/AJMZ0QdDVsOCeofRZJ7E-5_OmGTopxhKLKgrRyRiBqSVIkkG6ZY8A0xH5cj33o1mJn3HSwPBIA=w36-h36-p-rp-br100","egc104","","","4/5","13 years ago on","Tripadvisor","https://www.gstatic.com/travel-hotels/branding/icon_100532569.png","We were searching for a reasonably priced place in Pristina and came across this place. Although we sent a few emails when we turned up our booking hadn't been recorded (it was quite difficult as they didn't speak much english). However …","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXEmI1CKe4EUbZZT8dDEsArZ4dCgd8VhXaL0kHzeTcChzM1unow=w36-h36-p-rp-mo-ba5-br100","Leon Marges","Local Guide · 292 reviews · 664 photos","","5/5","11 months ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Best hotel in town , friendly and help you really good 😊, …","More","","","Like","","Share","Trip type"
"https://lh3.googleusercontent.com/a-/ALV-UjVLDILBLG8mU4WON8xUPWy-8yG8mcPv2g73ahuBxIavbCCfHqZ4eg=w36-h36-p-rp-mo-br100","Tarik Musić","1 review","","5/5","2 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Great location and the staff was so friendly! Hotel is in old town of Pristina and I highly recommend it. :)","More","","","","","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocJBUfsLssPE3Ul5qNs9dMMirSRmpxpRtfFcsRH2viDy_dMFuIoy=w36-h36-p-rp-mo-ba2-br100","Gülnur Laçin","Local Guide · 14 reviews · 4 photos","","5/5","2 years ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","Tekrar gelirsem , düşünmeden kalırım.
Çok sıcakkanlı insanlar. Her şey için teşekkürler.","More","See translation (English)","","Like","","Share","Trip type…"
"https://lh3.googleusercontent.com/a/ACg8ocIWESs1BqFIB5dhjDyWvVT1Q3sP_hsjILJn1CSNXBi2AA0wDA=w36-h36-p-rp-mo-ba5-br100","Alk-In Köln","Local Guide · 269 reviews · 156 photos","","3/5","2 months ago on","Google","https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png","The location is quite good, about 1 km from the center. The room was old-school but clean. The carpet needs to be replaced; it's really not that nice anymore. But for the price, it's okay. The staff was very nice.","More","See original (German)","","Like","","Share",""
